PCA1,PCA2,Cluster,Chemical Oxygen Demand
-1.1309734968787113,-0.4442536823309516,0,690.0
-0.2875665023467181,-0.9969832355417467,0,840.0
0.6870807991842414,-0.9175187567694916,1,961.0
-0.4956913265266744,-0.07597165661793433,0,767.0
3.6441205113685444,-2.3255980829689578,1,1500.0
0.5139259921283963,-0.3189951719005623,1,920.0
0.5895188571087424,-0.3874093155591205,1,900.0
0.19687435091491842,-1.0466975547382726,1,912.0
2.133912180208944,-1.4835368872863777,1,1125.0
-0.4356171041065249,0.10665369264108755,2,800.0
0.6378478189609068,1.0878265059353789,2,840.0
2.209093513414456,-2.1775038719631277,1,875.0
1.0004122232430712,0.12121287637450447,1,900.0
0.0787569872262645,0.8216918674123569,2,742.0
0.9684712117902371,-0.5297492256947066,1,970.0
0.9838030956584524,-1.3067472920120817,1,1042.0
0.30891919795693035,-0.842730923591749,1,875.0
-0.8235363143120539,-0.4611840226028596,0,730.0
1.5987772113652734,-0.45231900318343315,1,1030.0
0.8298313727142315,-1.3562190626415198,1,988.0
1.3099309650051338,-0.704142447258407,1,1053.0
0.6917375115556015,0.28558440391857126,2,884.0
0.7508718933168056,-0.9813624283771144,1,980.0
-1.7895099604689333,-1.1155979598885586,0,680.0
-3.854041640686114,-0.8689950710192835,0,500.0
-3.245910127879797,0.5802731925950668,0,593.0
-0.937873859950883,0.1992273622209601,0,654.0
-0.30337043673175146,-0.16975272756264723,0,790.0
-0.536775914411649,-1.3034304758958362,0,880.0
-0.6164164065872111,-0.6685801492373555,0,960.0
1.2928871172136747,-0.6482206923887145,1,995.0
1.4620148987159394,0.22282236464547797,1,960.0
0.9846372965518624,-1.009108677523448,1,978.0
-1.414807619056703,-0.37146928619509145,0,760.0
0.0831324595447863,-0.5673129138643336,0,830.0
1.5650498749630761,-2.922381326396263,1,1180.0
0.2905525295510795,-2.1552794774886355,1,977.0
1.0603905218388472,-0.7140059731444024,1,990.0
0.3519014519378379,-0.09590072065890276,2,850.0
